class,image_path,width,height,aspect_ratio
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0001.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0002.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0003.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0004.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0005.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0290.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0291.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0292.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0293.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0294.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0295.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0296.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0297.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0298.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0299.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0300.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0301.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0302.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0303.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0304.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0305.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0306.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0307.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0308.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0309.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0310.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0311.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0312.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0313.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0314.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0315.JPG,100,100,1.0
Healthy,data\raw\Poultry Birds Poo Imagery Dataset for Health Status Prediction A Case of South-West Nigeria\Dataset\Healthy\IMG_0316.JPG,100,100,1.0
