red_mean,green_mean,blue_mean
129.4501,115.8015,100.4647
130.823,117.1838,101.5021
131.4928,117.1291,100.7766
129.9608,116.0442,99.8922
128.7983,114.7936,98.7082
127.6412,112.0556,92.2082
127.6022,112.0944,92.3686
127.6133,111.8169,90.9309
126.3121,110.6078,89.7333
125.5249,109.7091,89.0951
125.9542,110.2564,89.388
126.4721,110.7141,89.5657
125.3171,109.4976,88.5593
124.6916,108.9119,87.952
125.0243,109.456,88.6353
124.0504,108.6992,88.099
121.8764,106.5211,86.6116
123.4825,108.1028,87.5922
124.3507,108.8993,89.3101
124.6749,109.1653,89.4599
124.6211,109.2189,89.4622
126.518,111.1508,90.63
130.9056,115.6132,94.5094
130.4231,115.0974,94.3621
129.6609,114.4463,93.6552
131.4247,116.3586,95.5318
131.6538,116.7907,96.2233
130.7329,116.0921,95.6691
130.2163,115.7565,96.159
130.2042,115.6129,96.0352
129.3485,114.4943,94.9596
129.9026,114.8276,95.4011
129.3448,114.3938,95.0039
128.4685,113.4935,94.3049
128.424,113.2911,93.7793
128.0632,113.0218,93.2901
127.4495,112.1575,92.8888
130.4572,115.4766,95.3398
130.1574,115.4828,96.0969
128.8945,114.222,94.8457
128.0246,113.2226,93.8193
127.1073,112.3419,93.9905
127.639,112.7232,94.1585
127.4073,112.3129,94.4852
127.746,112.6267,94.6726
127.8981,112.6636,94.3546
126.6907,111.57,93.5643
125.5409,110.494,93.0067
126.055,111.1784,93.2357
128.3469,113.3401,94.9041
129.9046,114.7857,97.1888
131.6852,116.7763,99.6219
132.1102,117.5791,100.847
132.3491,117.7372,100.0694
131.3406,116.6703,98.3769
130.8666,116.0396,97.0953
130.3345,115.2924,96.2346
129.2232,113.9659,94.705
129.291,113.7117,94.5597
127.3797,112.11,93.105
125.2248,109.8916,90.9618
124.8279,109.3525,90.6192
125.5033,110.1172,91.2464
126.4414,110.7871,92.1218
128.3805,112.7633,93.6335
127.5445,112.0791,93.2239
128.2059,112.6501,93.757
128.5928,113.1028,94.0487
126.2722,111.6978,93.0667
124.3512,110.01,91.3141
121.8037,107.5508,90.3067
122.1231,107.7598,90.6008
121.9857,107.6679,90.655
124.0191,109.4081,92.016
127.2002,112.6552,94.6232
127.7832,113.1764,95.8022
125.2468,110.4866,92.4446
125.6117,110.8447,92.1944
125.8927,110.8093,91.9036
123.5759,108.6825,89.8146
121.7363,106.7544,89.4474
121.2037,106.3731,89.1321
121.7249,106.8317,89.461
122.2044,107.6893,90.8761
122.3097,107.5693,90.9976
122.2775,107.5816,90.9626
122.5603,108.0638,91.4189
122.725,108.1338,91.5189
123.1514,108.6106,91.7476
123.2967,108.5008,91.8273
123.2416,108.5105,91.6846
124.8135,110.3962,93.4894
126.6187,111.2252,92.4266
125.0643,109.3809,91.0887
123.9596,108.3078,90.2454
123.1439,107.4349,88.4309
123.318,107.8796,88.6299
122.3392,106.8789,88.0251
123.783,108.1491,88.8649
123.0732,107.6693,88.373
122.7293,107.3244,88.472
123.9778,108.6048,89.4403
124.587,109.0907,89.931
125.463,109.8439,90.5771
124.9933,109.5127,90.2606
124.8282,109.2767,90.0854
124.2198,108.773,89.6219
124.2135,108.6984,89.6023
124.9204,109.358,90.0678
125.2928,109.664,90.3853
124.8002,109.3878,90.1261
124.3099,108.9609,89.998
124.4965,109.1891,89.9579
124.4952,109.2435,90.0694
124.4397,109.4796,91.4533
124.8642,109.8507,91.8442
124.7446,109.7708,91.6769
124.2287,109.2726,91.3577
124.3658,109.3984,91.081
123.9371,108.7886,90.5531
121.8934,106.9555,89.3336
123.3031,108.3899,90.1638
122.9909,108.1323,90.1748
122.0961,107.2956,89.3901
121.7062,106.8193,89.2406
122.8911,107.9614,89.9674
123.549,108.5728,90.5267
124.2019,109.0686,90.912
125.1634,109.9593,91.5435
125.8615,110.6991,92.0382
